,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,ball.1,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,pitchLine,pitchLength,shotType
765126,1211857,1,Lakshitha Manasinghe,978501,Negombo Cricket Club,Lasanda Rukmal,543548,Sri Lanka Air Force Sports Club,16,1211857_1_19_16,run,1,False,,978501,19,16,0,0,0,0,1,1,3.1,1,19,87,7,109,,0,4.78,,,0,2020-01-04,2020,"Colts Cricket Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,LHB,RMF,pace bowler,1,1,1,True,0,0,0,,,
765185,1211857,1,Dilshan Munaweera,304735,Negombo Cricket Club,Suminda Lakshan,1077063,Sri Lanka Air Force Sports Club,12,1211857_1_5_12,no run,0,False,,304735,5,12,0,0,0,0,31,19,1.0,0,11,41,1,30,,0,8.2,,,0,2020-01-04,2020,"Colts Cricket Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,0,1,0,True,0,0,0,,,
765465,1211857,1,Upul Indrasiri,51083,Negombo Cricket Club,Suminda Lakshan,1077063,Sri Lanka Air Force Sports Club,12,1211857_1_15_12,no run,0,False,,51083,15,12,0,0,0,0,5,9,2.0,0,17,79,6,90,,0,5.26,,,0,2020-01-04,2020,"Colts Cricket Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,LHB,LB,spin bowler,0,1,0,True,0,0,0,,,
766144,1211856,1,Shehan Jayasuriya,422965,Chilaw Marians Cricket Club,Avindu Theekshana,792525,Kurunegala Youth Cricket Club,12,1211856_1_8_12,four,4,False,,422965,8,12,0,0,0,0,18,11,3.0,0,18,79,1,48,,0,9.87,,,0,2020-01-04,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Chilaw Marians Cricket Club,Chilaw Marians Cricket Club,SLC T20,LHB,-,mixture/unknown,4,1,4,True,0,0,0,,,
766628,1211856,1,Kamindu Mendis,784373,Chilaw Marians Cricket Club,Lahiru Jayaratne,345820,Kurunegala Youth Cricket Club,12,1211856_1_10_12,no run,0,False,,784373,10,12,0,0,0,0,51,31,2.0,0,18,106,1,60,,0,10.6,,,0,2020-01-04,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Chilaw Marians Cricket Club,Chilaw Marians Cricket Club,SLC T20,LHB,RMF,pace bowler,0,1,0,True,0,0,0,,,
766849,1211894,2,Suminda Lakshan,1077063,Sri Lanka Air Force Sports Club,Aravinda Akurugoda,786923,Kurunegala Youth Cricket Club,29,1211894_2_12_29,run,1,False,,1077063,12,29,0,0,0,0,1,1,2.0,0,21,86,2,71,71.0,49,7.26,8.69,157.0,120,2020-01-10,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,1,1,1,True,0,0,0,,,
766865,1211894,2,Shabik Ifthary,1210069,Sri Lanka Air Force Sports Club,Aravinda Akurugoda,786923,Kurunegala Youth Cricket Club,25,1211894_2_12_25,four,4,False,,1210069,12,25,0,0,0,0,26,19,1.2,0,13,78,2,67,79.0,53,6.98,8.94,157.0,120,2020-01-10,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,4,1,4,True,0,0,0,,,
766866,1211894,2,Shabik Ifthary,1210069,Sri Lanka Air Force Sports Club,Aravinda Akurugoda,786923,Kurunegala Youth Cricket Club,26,1211894_2_12_26,four,4,False,,1210069,12,26,0,0,0,0,30,20,1.3,0,17,82,2,68,75.0,52,7.23,8.65,157.0,120,2020-01-10,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,4,1,4,True,0,0,0,,,
766867,1211894,2,Shabik Ifthary,1210069,Sri Lanka Air Force Sports Club,Aravinda Akurugoda,786923,Kurunegala Youth Cricket Club,27,1211894_2_12_27,run,2,False,,1210069,12,27,0,0,0,0,32,21,1.4,0,19,84,2,69,73.0,51,7.3,8.58,157.0,120,2020-01-10,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,2,1,2,True,0,0,0,,,
766868,1211894,2,Shabik Ifthary,1210069,Sri Lanka Air Force Sports Club,Aravinda Akurugoda,786923,Kurunegala Youth Cricket Club,28,1211894_2_12_28,run,1,False,,1210069,12,28,0,0,0,0,33,22,1.5,0,20,85,2,70,72.0,50,7.28,8.64,157.0,120,2020-01-10,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,1,1,1,True,0,0,0,,,
766869,1211894,2,Shabik Ifthary,1210069,Sri Lanka Air Force Sports Club,Aravinda Akurugoda,786923,Kurunegala Youth Cricket Club,30,1211894_2_12_30,no run,0,False,,1210069,12,30,0,0,0,0,33,23,3.0,0,27,95,3,72,62.0,48,7.91,7.75,157.0,120,2020-01-10,2020,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Air Force Sports Club,SLC T20,RHB,LB,spin bowler,0,1,0,True,0,0,0,,,
778628,1137482,1,Gayan Maneeshan,362892,Ace Capital Cricket Club,Dilip Tharaka,1070228,Sri Lanka Air Force Sports Club,12,1137482_1_15_12,no run,0,False,,362892,15,12,0,0,0,0,22,30,4.0,2,10,73,8,90,,0,4.86,,,0,2018-03-02,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Ports Authority Cricket Club,SLC Twenty-20 Tournament,LHB,OB,spin bowler,0,1,0,True,0,0,0,,,
778634,1137482,1,Prashan Wickramasinghe,428164,Ace Capital Cricket Club,Dilip Tharaka,1070228,Sri Lanka Air Force Sports Club,12,1137482_1_2_12,no run,0,False,,428164,2,12,0,0,0,0,0,2,1.0,1,1,13,1,12,,0,6.5,,,0,2018-03-02,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Ports Authority Cricket Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,0,1,0,True,0,0,0,,,
779760,1174798,2,Seekkuge Prasanna,268740,Sri Lanka Army,Sahan Nanayakkara,681687,Ragama Cricket Club,32,1174798_2_14_32,no run,0,False,,268740,14,32,0,0,0,0,19,12,2.2,3,13,74,5,79,87.0,41,5.62,12.73,161.0,120,2019-02-21,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Ragama Cricket Club,Sri Lanka Army Sports Club,SLC T20,RHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
779761,1174798,2,Seekkuge Prasanna,268740,Sri Lanka Army,Sahan Nanayakkara,681687,Ragama Cricket Club,33,1174798_2_14_33,six,6,False,,268740,14,33,0,0,0,0,25,13,2.3,3,19,80,5,80,81.0,40,6.0,12.15,161.0,120,2019-02-21,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Ragama Cricket Club,Sri Lanka Army Sports Club,SLC T20,RHB,SLA,spin bowler,6,1,6,True,0,0,0,,,
779762,1174798,2,Seekkuge Prasanna,268740,Sri Lanka Army,Sahan Nanayakkara,681687,Ragama Cricket Club,34,1174798_2_14_34,run,1,False,,268740,14,34,0,0,0,0,26,14,2.4,3,20,81,5,81,80.0,39,6.0,12.3,161.0,120,2019-02-21,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Ragama Cricket Club,Sri Lanka Army Sports Club,SLC T20,RHB,SLA,spin bowler,1,1,1,True,0,0,0,,,
779763,1174798,2,Seekkuge Prasanna,268740,Sri Lanka Army,Sahan Nanayakkara,681687,Ragama Cricket Club,36,1174798_2_14_36,four,4,False,,268740,14,36,0,0,0,0,30,15,2.5,3,24,85,5,83,76.0,37,6.14,12.32,161.0,120,2019-02-21,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Ragama Cricket Club,Sri Lanka Army Sports Club,SLC T20,RHB,SLA,spin bowler,4,1,4,True,0,0,0,,,
779764,1174798,2,Seekkuge Prasanna,268740,Sri Lanka Army,Sahan Nanayakkara,681687,Ragama Cricket Club,37,1174798_2_14_37,run,1,False,,268740,14,37,0,0,0,0,31,16,4.0,3,30,97,5,84,64.0,36,6.92,10.66,161.0,120,2019-02-21,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Ragama Cricket Club,Sri Lanka Army Sports Club,SLC T20,RHB,SLA,spin bowler,1,1,1,True,0,0,0,,,
780335,1137456,1,Keshan Wijerathne,786245,Kurunegala Youth Cricket Club,Adeesha Thilanchana,683367,Moors Sports Club,12,1137456_1_9_12,no run,0,False,,786245,9,12,0,0,0,0,0,1,1.0,1,10,69,3,54,,0,7.66,,,0,2018-02-25,2018,"Army Ground, Panagoda",Sri Lanka,Moors Sports Club,Kurunegala Youth Cricket Club,SLC Twenty-20 Tournament,RHB,LM,pace bowler,0,1,0,True,0,0,0,,,
787885,1137482,2,Danushka Bandara,545009,Sri Lanka Air Force Sports Club,Maduka Liyanapathiranage,415480,Ace Capital Cricket Club,14,1137482_2_5_14,no run,0,False,,545009,5,14,0,0,0,0,0,1,1.0,0,3,13,1,26,87.0,94,3.0,5.55,100.0,120,2018-03-02,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Ports Authority Cricket Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,0,1,0,True,0,0,0,,,
787886,1137482,2,Danushka Bandara,545009,Sri Lanka Air Force Sports Club,Maduka Liyanapathiranage,415480,Ace Capital Cricket Club,15,1137482_2_5_15,run,1,False,,545009,5,15,0,0,0,0,1,2,1.1,0,4,14,1,27,86.0,93,3.11,5.54,100.0,120,2018-03-02,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Ports Authority Cricket Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,1,1,1,True,0,0,0,,,
787887,1137482,2,Danushka Bandara,545009,Sri Lanka Air Force Sports Club,Maduka Liyanapathiranage,415480,Ace Capital Cricket Club,18,1137482_2_5_18,no run,0,False,,545009,5,18,0,0,0,0,1,3,3.0,1,14,24,2,30,76.0,90,4.8,5.06,100.0,120,2018-03-02,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sri Lanka Air Force Sports Club,Sri Lanka Ports Authority Cricket Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,0,1,0,True,0,0,0,,,
791438,1211865,1,Milinda Siriwardana,222354,Saracens Sports Club,Ramesh Kumar,273753,Police Sports Club,12,1211865_1_15_12,run,1,False,,222354,15,12,0,0,0,0,51,33,1.0,0,13,125,3,90,,0,8.33,,,0,2020-01-06,2020,"Colts Cricket Club Ground, Colombo",Sri Lanka,Saracens Sports Club,Police Sports Club,SLC T20,LHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
795909,1174699,1,Shehan Fernando,470085,Ragama Cricket Club,Sathik Nimalsha,1077439,Sri Lanka Navy Sports Club,12,1174699_1_3_12,run,1,False,,470085,3,12,0,0,0,0,11,9,1.5,1,16,21,2,17,,0,7.41,,,0,2019-02-15,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Sri Lanka Navy Sports Club,Sri Lanka Navy Sports Club,SLC T20,RHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
795913,1174699,1,Janith Liyanage,681681,Ragama Cricket Club,Sathik Nimalsha,1077439,Sri Lanka Navy Sports Club,13,1174699_1_3_13,run,1,False,,681681,3,13,0,0,0,0,2,2,2.0,1,17,22,2,18,,0,7.33,,,0,2019-02-15,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Sri Lanka Navy Sports Club,Sri Lanka Navy Sports Club,SLC T20,RHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
795918,1174699,1,Sameera de Zoysa,48748,Ragama Cricket Club,Sathik Nimalsha,1077439,Sri Lanka Navy Sports Club,12,1174699_1_5_12,run,1,False,,48748,5,12,0,0,0,0,7,2,3.0,2,25,33,3,30,,0,6.6,,,0,2019-02-15,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Sri Lanka Navy Sports Club,Sri Lanka Navy Sports Club,SLC T20,LHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
811089,1269705,2,Shamarh Brooks,230555,Jamaica Tallawahs,Raymon Reifer,450101,Barbados Royals,12,1269705_2_15_12,no run,0,False,,230555,15,12,0,0,0,0,34,32,3.0,3,25,103,6,90,59.0,30,6.86,11.8,162.0,120,2021-08-28,2021,"Warner Park, Basseterre, St Kitts",West Indies,Barbados Royals,Barbados Royals,CPL,RHB,LMF,pace bowler,0,1,0,True,0,0,0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE
815644,1318344,1,Ashan Randika,1082298,Sri Lanka Army,Tharindu Siriwardene,50660,Kalutara Town Club,12,1318344_1_2_12,no run,0,False,,1082298,2,12,0,0,0,0,7,10,0.5,0,5,8,0,11,,0,4.36,,,0,2022-06-12,2022,"Surrey Village, Maggona",Sri Lanka,Sri Lanka Army Sports Club,Sri Lanka Army Sports Club,Clubs T20,LHB,RFM,pace bowler,0,1,0,True,0,0,0,,,
815645,1318344,1,Ashan Randika,1082298,Sri Lanka Army,Tharindu Siriwardene,50660,Kalutara Town Club,13,1318344_1_2_13,run,1,False,,1082298,2,13,0,0,0,0,8,11,1.0,0,6,9,0,12,,0,4.5,,,0,2022-06-12,2022,"Surrey Village, Maggona",Sri Lanka,Sri Lanka Army Sports Club,Sri Lanka Army Sports Club,Clubs T20,LHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
829162,1251576,1,Babar Azam,348144,Pakistan,Sisanda Magala,379776,South Africa,12,1251576_1_12_12,no run,0,False,,348144,12,12,0,0,0,0,32,34,1.0,0,18,90,3,72,,48,7.5,,,120,2021-04-12,2021,"The Wanderers Stadium, Johannesburg",South Africa,South Africa,Pakistan,T20I,RHB,RFM,pace bowler,0,1,0,True,140,152,7,OUTSIDE_OFFSTUMP,FULL_TOSS,SLOG_SHOT
838241,1269706,2,Kieron Pollard,230559,Trinbago Knight Riders,Rahkeem Cornwall,494581,St Lucia Kings,12,1269706_2_14_12,leg bye,1,False,,230559,14,12,0,0,0,1,2,3,2.0,0,20,83,2,84,75.0,36,5.92,12.5,158.0,120,2021-08-29,2021,"Warner Park, Basseterre, St Kitts",West Indies,St Lucia Kings,Trinbago Knight Riders,CPL,RHB,OB,spin bowler,0,1,0,True,0,0,0,ON_THE_STUMPS,FULL,FLICK
847085,854887,1,Kusal Mendis,629074,Bloomfield Cricket and Athletic Club,Sameera Wanigasekera,624029,Sri Lanka Air Force Sports Club,12,854887_1_2_12,no run,0,False,,629074,2,12,0,0,0,0,2,7,0.4,0,10,11,1,10,,0,6.6,,,0,2015-04-07,2015,"Bloomfield Cricket and Athletic Club Ground, Colombo",Sri Lanka,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,SLC Twenty-20 Tournament,RHB,RM,pace bowler,0,1,0,True,0,0,0,,,
847086,854887,1,Kusal Mendis,629074,Bloomfield Cricket and Athletic Club,Sameera Wanigasekera,624029,Sri Lanka Air Force Sports Club,13,854887_1_2_13,no run,0,False,,629074,2,13,0,0,0,0,2,8,0.5,0,10,11,1,11,,0,6.0,,,0,2015-04-07,2015,"Bloomfield Cricket and Athletic Club Ground, Colombo",Sri Lanka,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,SLC Twenty-20 Tournament,RHB,RM,pace bowler,0,1,0,True,0,0,0,,,
847087,854887,1,Kusal Mendis,629074,Bloomfield Cricket and Athletic Club,Sameera Wanigasekera,624029,Sri Lanka Air Force Sports Club,14,854887_1_2_14,no run,0,False,,629074,2,14,0,0,0,0,2,9,1.0,0,10,11,1,12,,0,5.5,,,0,2015-04-07,2015,"Bloomfield Cricket and Athletic Club Ground, Colombo",Sri Lanka,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,SLC Twenty-20 Tournament,RHB,RM,pace bowler,0,1,0,True,0,0,0,,,
849585,1137466,1,Dimuth Karunaratne,227772,Sinhalese Sports Club,Buddika Hasaranga,599365,Sri Lanka Navy Sports Club,12,1137466_1_13_12,no run,0,False,,227772,13,12,0,0,0,0,30,29,3.5,1,29,84,4,77,,0,6.54,,,0,2018-02-27,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sinhalese Sports Club,Sinhalese Sports Club,SLC Twenty-20 Tournament,LHB,OB,spin bowler,0,1,0,True,0,0,0,,,
849586,1137466,1,Dimuth Karunaratne,227772,Sinhalese Sports Club,Buddika Hasaranga,599365,Sri Lanka Navy Sports Club,13,1137466_1_13_13,run,1,False,,227772,13,13,0,0,0,0,38,35,4.0,1,30,95,4,78,,0,7.3,,,0,2018-02-27,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Sinhalese Sports Club,Sinhalese Sports Club,SLC Twenty-20 Tournament,LHB,OB,spin bowler,1,1,1,True,0,0,0,,,
851486,1174781,1,Charana Nanayakkara,954537,Panadura Sports Club,Chanuka Dilshan,1135787,Moors Sports Club,12,1174781_1_12_12,run,1,False,,954537,12,12,0,0,0,0,2,3,3.0,3,17,94,6,72,,0,7.83,,,0,2019-02-19,2019,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Moors Sports Club,Panadura Sports Club,SLC T20,RHB,SLA,spin bowler,1,1,1,True,0,0,0,,,
923952,903761,1,Andrew Puttick,46797,South Western Districts,Keith Dudgeon,596800,Gauteng,12,903761_1_7_12,run,2,False,,46797,7,12,0,0,0,0,38,26,2.0,1,9,44,2,42,,0,6.28,,,0,2015-09-26,2015,"Mangaung Oval, Bloemfontein",South Africa,South Western Districts,Gauteng,Africa T20 Cup,LHB,RFM,pace bowler,2,1,2,True,0,0,0,,,
938789,1124658,1,Ayabulela Gqamane,322818,Warriors,Ryan McLaren,46393,Knights,12,1124658_1_20_12,run,1,False,,322818,20,12,0,0,0,0,7,5,4.0,0,44,153,9,120,,0,7.65,,,0,2017-11-10,2017,"St George's Park, Port Elizabeth",South Africa,Knights,Knights,Ram Slam T20,RHB,RMF,pace bowler,1,1,1,True,0,0,0,,,
1052105,1157411,1,Alex Obanda,291844,Kenya,Tangeni Lungameni,524075,Namibia,12,1157411_1_6_12,wide,1,False,,291844,6,12,0,1,0,0,33,15,0.5,0,11,77,0,35,,0,13.2,,,0,2018-09-16,2018,"Buffalo Park, East London",South Africa,-,Namibia,Africa T20 Cup,RHB,LM,pace bowler,0,0,1,True,0,0,0,,,
1052106,1157411,1,Alex Obanda,291844,Kenya,Tangeni Lungameni,524075,Namibia,13,1157411_1_6_13,no run,0,False,,291844,6,13,0,0,0,0,33,16,1.0,0,11,77,0,36,,0,12.83,,,0,2018-09-16,2018,"Buffalo Park, East London",South Africa,-,Namibia,Africa T20 Cup,RHB,LM,pace bowler,0,1,0,True,0,0,0,,,
